Feature,Target
0.9600173033359185,1
0.699512049949576,1
0.9998672926238792,1
0.22006729978285178,0
0.361056353964058,0
0.739840990209437,1
0.996455725089097,1
0.3163469777906084,0
0.13654457982352464,0
0.3839800101516001,0
0.3205192835651931,0
0.3664147530835151,0
0.7096515625881274,1
0.9001424305233735,1
0.5341154391977205,1
0.24729376490994515,0
0.6718065625770753,1
0.5617291073131376,1
0.5425598767095098,1
0.8934476036949007,1
0.842779549565043,1
0.306012589949623,0
0.6311697774551955,1
0.6802388604461551,1
0.9704275603953206,1
0.8935671519207612,1
0.9424258613607805,1
0.6422254812227944,1
0.6146476338420842,1
0.22768325439797588,0
0.48603186896637274,0
0.8072192993884133,1
0.844220153522363,1
0.5346808662299573,1
0.75779804985444,1
0.4996768861038394,0
0.850327896594962,1
0.6196967753560718,1
0.8616141790501138,1
0.23169719664900035,0
0.4022184145807711,0
0.6243750621598855,1
0.14303670588390183,0
0.12279848359327927,0
0.4168299107625021,0
0.55688298205196,1
0.9414191754394224,1
0.40925902250323054,0
0.7367514493829402,1
0.9954506743662491,1
0.9166643492109676,1
0.002023272594058212,0
0.9713316932292897,1
0.8890481766987238,1
0.69948860623719,1
0.0975246685479263,0
0.5734290389184014,1
0.8200371163300957,1
0.5608910506455944,1
0.3507624607204416,0
0.5434997560938548,1
0.8795890917121209,1
0.11409656487218656,0
0.031438805443634976,0
0.9528100603730366,1
0.28874347436007175,0
0.4419491708850247,0
0.25902153226143165,0
0.5968914437271092,1
0.6552860459773097,1
0.2756954606457642,0
0.8579724579391195,1
0.8887241463838484,1
0.2850605910653178,0
0.6595604191091031,1
0.9721202593668238,1
0.7968741125563475,1
0.1794644011767761,0
0.7846729778876521,1
0.9701278885757159,1
0.3628117689857211,0
0.08788606476009508,0
0.343833423729332,0
0.5711096456911043,1
0.16551268246031936,0
0.6316159388531115,1
0.06556553529884612,0
0.9128741912049831,1
0.08865397922675455,0
0.19938767830182724,0
0.47195269795088235,0
0.4409971801977378,0
0.7655514266886346,1
0.012743533666867535,0
0.6806629641709289,1
0.2756026399235382,0
0.6039798212578414,1
0.5459728461872907,1
0.20978981055078283,0
0.1361227536800812,0
0.7691626139537227,1
0.4745842525855086,0
0.5191131687478104,1
0.9441930457993154,1
0.6435253619088376,1
0.4382503727369158,0
0.46378770760574095,0
0.24883145382893634,0
0.25675936951200384,0
0.02299406471310539,0
0.9324050870187046,1
0.39225900633456545,0
0.6482873731772371,1
0.35673952575982737,0
0.11044039822543339,0
0.4485582006417287,0
0.46892383646194713,0
0.05814587189395937,0
0.8166037025462897,1
0.28934125419905854,0
0.6510913486142509,1
0.15370561722706666,0
0.5282710737487201,1
0.6821484990263211,1
0.7117996133726455,1
0.7426166831398716,1
0.578734368065148,1
0.3804997323794479,0
0.7650496207504589,1
0.05123622729922084,0
0.9123363086538796,1
0.43704300569307764,0
0.6359514792116346,1
0.8214207936204565,1
0.17621021357620914,0
0.5517914990855354,1
0.5484066055322694,1
0.9203280793978186,1
0.8332868975383778,1
0.6600190198600491,1
0.689698697488411,1
0.28624576133562707,0
0.9018688780957155,1
0.05522385012184483,0
0.4210961338309971,0
0.7868955865532546,1
0.9272838481483467,1
0.1574407373971164,0
0.5585842924135593,1
0.4511717569447983,0
0.7489853601394706,1
0.8392536536065494,1
0.045574626831785925,0
0.5056430617530376,1
0.5888148077428697,1
0.06176831515473502,0
0.0249223184136671,0
0.5925895412131886,1
0.7393777889149316,1
0.009683949656655533,0
0.9822929964903885,1
0.04589360266046649,0
0.5668050826030613,1
0.09945230026698948,0
0.35033697346952086,0
0.39446346254319076,0
0.38728286423063396,0
0.4026991724007808,0
0.9299161456275704,1
0.9421376901338476,1
0.18024039388297874,0
0.7305131084085753,1
0.6801812499257602,1
0.8838983852939835,1
0.5808750651981254,1
0.6987744891482957,1
0.2512847168134523,0
0.812918537453546,1
0.5629082529013656,1
0.31027156380941834,0
0.37463452689861065,0
0.8218163018659373,1
0.9053695856172267,1
0.9182387006882712,1
0.2294505756274452,0
0.1496799063141213,0
0.764679991136439,1
0.3299440540147187,0
0.9218932736828969,1
0.39975793600422727,0
0.17801445745707967,0
0.09803848432106199,0
0.12368875040235072,0
0.6286570114146864,1
0.4756584114345037,0
0.7022890631739275,1
0.10226279433958463,0
0.09267715374413865,0
0.7250370793312886,1
0.3711466347826846,0
